Datum;Verbrauch
26.1.2023, 15:30;1,563
26.1.2023, 15:45;1,406
26.1.2023, 16:00;1,656
26.1.2023, 16:15;1,419
26.1.2023, 16:30;1,481
26.1.2023, 16:45;1,65
26.1.2023, 17:00;1,35
26.1.2023, 17:15;1,338
26.1.2023, 17:30;1,106
26.1.2023, 17:45;1,2
26.1.2023, 18:00;0,988
26.1.2023, 18:15;1,144
26.1.2023, 18:30;0,925
26.1.2023, 18:45;1,112
26.1.2023, 19:00;0,975
26.1.2023, 19:15;1,131
26.1.2023, 19:30;1,194
26.1.2023, 19:45;1,425
26.1.2023, 20:00;1,1
26.1.2023, 20:15;1,231
26.1.2023, 20:30;1,138
26.1.2023, 20:45;0,881
26.1.2023, 21:00;1,044
26.1.2023, 21:15;0,838
26.1.2023, 21:30;0,85
26.1.2023, 21:45;0,844
26.1.2023, 22:00;0,588
26.1.2023, 22:15;0,744
26.1.2023, 22:30;0,688
26.1.2023, 22:45;0,731
26.1.2023, 23:00;1,037
26.1.2023, 23:15;0,931
26.1.2023, 23:30;0,85
26.1.2023, 23:45;0,838
27.1.2023, 00:00;0,613
27.1.2023, 00:15;0,7
27.1.2023, 00:30;0,744
27.1.2023, 00:45;0,581
27.1.2023, 01:00;0,769
27.1.2023, 01:15;0,631
27.1.2023, 01:30;0,569
27.1.2023, 01:45;0,8
27.1.2023, 02:00;0,581
27.1.2023, 02:15;0,644
27.1.2023, 02:30;0,775
27.1.2023, 02:45;0,6
27.1.2023, 03:00;0,738
27.1.2023, 03:15;0,65
27.1.2023, 03:30;0,588
27.1.2023, 03:45;0,756
27.1.2023, 04:00;0,6
27.1.2023, 04:15;0,762
27.1.2023, 04:30;0,663
27.1.2023, 04:45;0,612
27.1.2023, 05:00;0,825
27.1.2023, 05:15;0,6
27.1.2023, 05:30;0,606
27.1.2023, 05:45;0,881
27.1.2023, 06:00;0,813
27.1.2023, 06:15;1,238
27.1.2023, 06:30;1,281
27.1.2023, 06:45;1,475
27.1.2023, 07:00;2,269
27.1.2023, 07:15;3,056
27.1.2023, 07:30;3,206
27.1.2023, 07:45;3,219
27.1.2023, 08:00;3,7
27.1.2023, 08:15;4,119
27.1.2023, 08:30;3,581
27.1.2023, 08:45;3,238
27.1.2023, 09:00;3,894
27.1.2023, 09:15;4,05
27.1.2023, 09:30;3,375
27.1.2023, 09:45;3,338
27.1.2023, 10:00;4,162
27.1.2023, 10:15;3,75
27.1.2023, 10:30;2,987
27.1.2023, 10:45;3,325
27.1.2023, 11:00;3,019
27.1.2023, 11:15;3,206
27.1.2023, 11:30;3,438
27.1.2023, 11:45;2,762
27.1.2023, 12:00;2,725
27.1.2023, 12:15;2,287
27.1.2023, 12:30;2,175
27.1.2023, 12:45;1,931
27.1.2023, 13:00;1,631
27.1.2023, 13:15;1,319
27.1.2023, 13:30;1,65
27.1.2023, 13:45;1,575
27.1.2023, 14:00;1,569
27.1.2023, 14:15;1,519
27.1.2023, 14:30;1,712
27.1.2023, 14:45;1,625
27.1.2023, 15:00;1,313
27.1.2023, 15:15;1,563
27.1.2023, 15:30;1,394
27.1.2023, 15:45;1,594
27.1.2023, 16:00;1,363
27.1.2023, 16:15;1,444
27.1.2023, 16:30;1
27.1.2023, 16:45;1,281
27.1.2023, 17:00;1,219
27.1.2023, 17:15;1,188
27.1.2023, 17:30;1,144
27.1.2023, 17:45;1,031
27.1.2023, 18:00;1,169
27.1.2023, 18:15;0,744
27.1.2023, 18:30;0,744
27.1.2023, 18:45;0,656
27.1.2023, 19:00;0,719
27.1.2023, 19:15;1,075
27.1.2023, 19:30;0,925
27.1.2023, 19:45;1,081
27.1.2023, 20:00;0,95
27.1.2023, 20:15;1,038
27.1.2023, 20:30;1,125
27.1.2023, 20:45;0,912
27.1.2023, 21:00;1,063
27.1.2023, 21:15;0,912
27.1.2023, 21:30;1,025
27.1.2023, 21:45;0,631
27.1.2023, 22:00;0,756
27.1.2023, 22:15;0,644
27.1.2023, 22:30;0,762
27.1.2023, 22:45;0,588
27.1.2023, 23:00;0,787
27.1.2023, 23:15;0,625
27.1.2023, 23:30;0,719
27.1.2023, 23:45;0,594
28.1.2023, 00:00;0,606
28.1.2023, 00:15;0,925
28.1.2023, 00:30;0,594
28.1.2023, 00:45;0,581
28.1.2023, 01:00;0,737
28.1.2023, 01:15;0,763
28.1.2023, 01:30;0,563
28.1.2023, 01:45;0,781
28.1.2023, 02:00;0,581
28.1.2023, 02:15;0,725
28.1.2023, 02:30;0,731
28.1.2023, 02:45;0,575
28.1.2023, 03:00;0,644
28.1.2023, 03:15;0,838
28.1.2023, 03:30;0,581
28.1.2023, 03:45;0,588
28.1.2023, 04:00;0,7
28.1.2023, 04:15;0,844
28.1.2023, 04:30;0,694
28.1.2023, 04:45;0,594
28.1.2023, 05:00;0,775
28.1.2023, 05:15;0,619
28.1.2023, 05:30;0,581
28.1.2023, 05:45;0,813
28.1.2023, 06:00;0,575
28.1.2023, 06:15;0,775
28.1.2023, 06:30;0,675
28.1.2023, 06:45;0,575
28.1.2023, 07:00;0,594
28.1.2023, 07:15;0,838
28.1.2023, 07:30;0,544
28.1.2023, 07:45;0,506
28.1.2023, 08:00;0,688
28.1.2023, 08:15;0,7
28.1.2023, 08:30;0,444
28.1.2023, 08:45;0,431
28.1.2023, 09:00;0,631
28.1.2023, 09:15;1,344
28.1.2023, 09:30;1,025
28.1.2023, 09:45;1,05
28.1.2023, 10:00;0,95
28.1.2023, 10:15;1,162
28.1.2023, 10:30;0,706
28.1.2023, 10:45;0,219
28.1.2023, 11:00;0,487
28.1.2023, 11:15;0,419
28.1.2023, 11:30;0,056
28.1.2023, 11:45;0,719
28.1.2023, 12:00;0,813
28.1.2023, 12:15;1,037
28.1.2023, 12:30;0,9
28.1.2023, 12:45;0,813
28.1.2023, 13:00;0,856
28.1.2023, 13:15;1,069
28.1.2023, 13:30;0,625
28.1.2023, 13:45;0,575
28.1.2023, 14:00;0,681
28.1.2023, 14:15;0,694
28.1.2023, 14:30;0,419
28.1.2023, 14:45;0,488
28.1.2023, 15:00;0,6
28.1.2023, 15:15;0,625
28.1.2023, 15:30;0,463
28.1.2023, 15:45;0,487
28.1.2023, 16:00;0,831
28.1.2023, 16:15;0,525
28.1.2023, 16:30;0,55
28.1.2023, 16:45;0,544
28.1.2023, 17:00;0,825
28.1.2023, 17:15;0,625
28.1.2023, 17:30;0,594
28.1.2023, 17:45;0,619
28.1.2023, 18:00;0,825
28.1.2023, 18:15;0,575
28.1.2023, 18:30;0,644
28.1.2023, 18:45;0,725
28.1.2023, 19:00;0,588
28.1.2023, 19:15;0,813
28.1.2023, 19:30;0,606
28.1.2023, 19:45;0,575
28.1.2023, 20:00;0,844
28.1.2023, 20:15;0,581
28.1.2023, 20:30;0,644
28.1.2023, 20:45;0,744
28.1.2023, 21:00;0,606
28.1.2023, 21:15;0,725
28.1.2023, 21:30;0,656
28.1.2023, 21:45;0,6
28.1.2023, 22:00;0,819
28.1.2023, 22:15;0,581
28.1.2023, 22:30;0,587
28.1.2023, 22:45;0,806
28.1.2023, 23:00;0,569
